index,tic,action,type,price,buy_date_detail,buy_date,sell_price,sell_date_detail,sell_date,gain,買入交易手續費,賣出交易手續費,交易稅,
0,2308.TW,done,high,348.5,2023/6/14 9:34,2023/6/14,353,2023/6/14 9:39,2023/6/14,4500,496.6125,503.025,529.5,
1,2308.TW,done,low,346.5,2023/6/27 12:01,2023/6/27,346.5,2023/6/27 12:07,2023/6/27,0,493.7625,493.7625,519.75,
2,2308.TW,done,low,358,2023/7/6 9:52,2023/7/6,357.5,2023/7/6 10:28,2023/7/6,-500,510.15,509.4375,536.25,
3,2308.TW,done,low,369,2023/7/13 13:06,2023/7/13,369,2023/7/13 13:07,2023/7/13,0,525.825,525.825,553.5,
4,2308.TW,done,low,370.5,2023/7/18 9:38,2023/7/18,370,2023/7/18 9:39,2023/7/18,-500,527.9625,527.25,555,
5,2308.TW,done,low,366,2023/7/25 10:27,2023/7/25,365,2023/7/25 10:30,2023/7/25,-1000,521.55,520.125,547.5,
6,2308.TW,done,low,353.5,2023/8/11 10:32,2023/8/11,353.5,2023/8/11 10:33,2023/8/11,0,503.7375,503.7375,530.25,
7,2308.TW,done,low,306.5,2023/11/16 9:50,2023/11/16,305.5,2023/11/16 9:58,2023/11/16,-1000,436.7625,435.3375,458.25,
8,2308.TW,done,low,314,2023/12/15 10:43,2023/12/15,313,2023/12/15 13:30,2023/12/15,-1000,447.45,446.025,469.5,
總和,,,,,,,,,,500,4463.8125,4464.525,4699.5,-13127.8375
