index,tic,action,type,price,buy_date_detail,buy_date,sell_date_detail,sell_date,sell_price,gain,買入交易手續費,賣出交易手續費,交易稅,
0,2308.TW,done,low,313,2024/3/12 9:36,2024/3/12,2024/3/12 9:38,2024/3/12,312.5,-500,446.025,445.3125,468.75,
1,2308.TW,done,low,355.5,2024/3/25 10:08,2024/3/25,2024/3/25 10:13,2024/3/25,354.5,-1000,506.5875,505.1625,531.75,
2,2308.TW,done,low,347,2024/3/26 9:51,2024/3/26,2024/3/26 9:52,2024/3/26,347,0,494.475,494.475,520.5,
3,2308.TW,done,low,298,2024/4/22 9:41,2024/4/22,2024/4/22 10:40,2024/4/22,297,-1000,424.65,423.225,445.5,
4,2308.TW,done,low,305,2024/4/25 12:10,2024/4/25,2024/4/25 13:30,2024/4/25,306,1000,434.625,436.05,459,
5,2308.TW,done,low,321,2024/4/30 13:16,2024/4/30,2024/4/30 13:30,2024/4/30,320.5,-500,457.425,456.7125,480.75,
6,2308.TW,done,low,309.5,2024/5/2 9:33,2024/5/2,2024/5/2 10:20,2024/5/2,308.5,-1000,441.0375,439.6125,462.75,
7,2308.TW,done,high,325.5,2024/5/3 10:49,2024/5/3,2024/5/3 11:02,2024/5/3,328.5,3000,463.8375,468.1125,492.75,
8,2308.TW,done,low,322,2024/5/9 12:47,2024/5/9,2024/5/9 13:30,2024/5/9,323,1000,458.85,460.275,484.5,
9,2308.TW,done,low,349,2024/5/28 10:40,2024/5/28,2024/5/28 10:45,2024/5/28,348.5,-500,497.325,496.6125,522.75,
10,2308.TW,done,low,345.5,2024/6/12 10:13,2024/6/12,2024/6/12 10:28,2024/6/12,344.5,-1000,492.3375,490.9125,516.75,
11,2308.TW,done,low,392,2024/6/28 9:47,2024/6/28,2024/6/28 9:51,2024/6/28,391,-1000,558.6,557.175,586.5,
12,2308.TW,done,low,415.5,2024/7/10 9:46,2024/7/10,2024/7/10 9:51,2024/7/10,414,-1500,592.0875,589.95,621,
13,2308.TW,done,low,399,2024/7/18 10:22,2024/7/18,2024/7/18 10:37,2024/7/18,398.5,-500,568.575,567.8625,597.75,
14,2308.TW,done,low,397,2024/7/29 10:08,2024/7/29,2024/7/29 10:09,2024/7/29,397,0,565.725,565.725,595.5,
15,2308.TW,done,high,392.5,2024/7/30 9:34,2024/7/30,2024/7/30 9:42,2024/7/30,394.5,2000,559.3125,562.1625,591.75,
16,2308.TW,done,low,406.5,2024/7/31 9:41,2024/7/31,2024/7/31 10:03,2024/7/31,407,500,579.2625,579.975,610.5,
17,2308.TW,done,low,422,2024/8/1 9:33,2024/8/1,2024/8/1 9:38,2024/8/1,422,0,601.35,601.35,633,
18,2308.TW,done,low,397.5,2024/8/2 10:21,2024/8/2,2024/8/2 10:25,2024/8/2,396.5,-1000,566.4375,565.0125,594.75,
19,2308.TW,done,low,385.5,2024/8/9 12:59,2024/8/9,2024/8/9 13:30,2024/8/9,387.5,2000,549.3375,552.1875,581.25,
20,2308.TW,done,low,398.5,2024/8/12 12:57,2024/8/12,2024/8/12 12:58,2024/8/12,398,-500,567.8625,567.15,597,
21,2308.TW,done,low,361.5,2024/9/9 10:15,2024/9/9,2024/9/9 10:20,2024/9/9,360.5,-1000,515.1375,513.7125,540.75,
22,2308.TW,done,low,398,2024/9/25 9:48,2024/9/25,2024/9/25 9:51,2024/9/25,397.5,-500,567.15,566.4375,596.25,
23,2308.TW,done,low,382,2024/10/1 9:41,2024/10/1,2024/10/1 10:14,2024/10/1,381,-1000,544.35,542.925,571.5,
24,2308.TW,done,low,372,2024/10/7 9:47,2024/10/7,2024/10/7 9:53,2024/10/7,371,-1000,530.1,528.675,556.5,
25,2308.TW,done,low,405.5,2024/10/28 10:02,2024/10/28,2024/10/28 10:03,2024/10/28,404,-1500,577.8375,575.7,606,
26,2308.TW,done,low,389,2024/11/27 10:38,2024/11/27,2024/11/27 11:16,2024/11/27,388,-1000,554.325,552.9,582,
27,2308.TW,done,high,423,2024/12/13 10:13,2024/12/13,2024/12/13 10:33,2024/12/13,427.5,4500,602.775,609.1875,641.25,
總和,,,,,,,,,,-2000,14717.4,14714.55,15489,-46920.95
